"x,","y","astig_1","defocus","astig_2"
1,1,-10.7213839859904,-9.57156497257834,-1.84409695432263
2,1,-11.0871735915241,-9.12437956702739,-4.18246742178357
3,1,-12.1533591133921,-9.87904804411752,-3.38396638140374
4,1,-13.5253906889755,-10.1478035138378,-1.87823147339925
5,1,-15.6903169005328,-10.049996382454,-1.70916178244136
6,1,-13.3519655225755,-10.2044123672554,-1.1199191103053
7,1,-11.6275379159036,-10.0406525754236,1.2553089481716
8,1,-10.6291309235678,-9.41120104498327,2.65070734162763
9,1,-10.3727662537222,-8.51096556743183,3.79622684116239
10,1,-8.22020764063087,-7.62013770506762,6.33398248128276
11,1,-7.97024573136211,-7.025358579612,7.08296147001304
12,1,-6.15973604817233,-5.86314517575405,6.82837361004457
13,1,-5.56591821902779,-5.38053954695533,8.28097814119157
14,1,-1.48580628219149,-7.27673599444321,6.98974268836607
15,1,-4.56307037689617,-5.24979030691603,7.61210588853257
16,1,-3.87772861718927,-5.96726316103959,7.22971650217118
17,1,-2.88836854157226,-5.68210724210739,7.85668110958163
18,1,-2.33071936522155,-5.77599674921101,6.76781406389739
19,1,1.05075596603787,-7.0270367802873,5.69135886592916
20,1,4.35842744141238,-8.72224735647356,7.01784386136369
21,1,0.352965462017627,-8.5244664271556,4.20807792440314
22,1,6.10629521699669,-11.7251419923978,4.38298388302925
23,1,3.96385624555605,-9.00567051811741,5.22785874167814
24,1,3.47799318469231,-10.2288407007332,3.53222536034371
25,1,9.54948662735054,-12.3762288161212,2.74994123049608
26,1,4.49803740540306,-10.1208941402187,1.57273109387428
27,1,4.76718893720237,-10.1374899176264,1.17264819655515
28,1,5.32520169504147,-10.0237473010889,4.57355536789583
29,1,3.47162519543649,-9.83616777659795,4.30660629995366
30,1,6.41370376142554,-9.96394301390855,3.01617142505723
31,1,7.95145386970413,-9.06026022614431,4.23992223772887
32,1,4.12088990042893,-9.31084655498994,2.58070867635356
33,1,10.0009756953127,-5.85102064001171,-1.63643519074428
1,2,-11.7292419714643,-10.1325750269346,-0.844336747151838
2,2,-13.3544003782173,-10.4902083975034,-0.951009505978161
3,2,-12.6767305800242,-10.7740245896953,-1.48764689699371
4,2,-12.645084733466,-10.7222542352074,-0.681925012281751
5,2,-13.2214996209485,-10.9388930486901,-0.47440095410287
6,2,-12.0275404245545,-10.4340032941447,-1.51974037372236
7,2,-9.71942110210565,-10.3568631184921,0.390307876431035
8,2,-9.79434817884795,-9.02697250263012,1.06415506859706
9,2,-6.84429225058553,-8.27755904847026,2.24082395220899
10,2,-6.11401682668741,-7.54255535758468,4.92848982007402
11,2,-2.96967840170586,-8.01730318872408,3.84208402293834
12,2,-4.75716844224594,-5.81419583645446,4.66815573356754
13,2,-3.0189332127272,-4.83442634509865,5.5564518498199
14,2,0.830889392041377,-6.21108014241937,5.9076810070716
15,2,-2.73081896346643,-4.53994712013182,4.81588445920209
16,2,-2.23348669753073,-4.54719282934059,3.53355540304977
17,2,-4.54279993759255,-5.9732853716848,7.08614675495204
18,2,-1.51275173697556,-4.38355245772696,4.03472514085651
19,2,1.3887132256154,-5.196962682158,3.21557098891974
20,2,0.230077935546586,-6.22790298070549,3.83134121889124
21,2,2.4848065225374,-6.30669420265637,3.03709808658467
22,2,3.15676174826235,-7.33762456237019,4.44364960120328
23,2,3.97159348192593,-8.13706541382941,4.34645735569995
24,2,5.80510910751357,-9.07777544908859,4.73710990464784
25,2,5.7083860140688,-8.60535070741925,5.15315827966714
26,2,5.3698603843482,-9.32495800140458,2.72374309514446
27,2,7.23417591813338,-9.48076675378571,2.84896610531385
28,2,6.56000699273141,-9.8740009064884,4.33738339901926
29,2,4.50714537825444,-10.1719178088011,3.45647023904997
30,2,8.10772569453555,-10.6693265058951,2.89671699717338
31,2,8.00698513085381,-9.95168453645353,3.29212450719432
32,2,5.36472450884766,-10.0127035569218,1.28561024679204
33,2,10.5011975840371,-7.17621428443399,-0.686298310488426
1,3,-11.9954063835436,-10.9670503510047,-0.0803592323815624
